uniqueid,bank_account
uniqueid_7867 x Kenya,Yes
uniqueid_6722 x Kenya,No
uniqueid_6714 x Kenya,No
uniqueid_8103 x Kenya,No
uniqueid_8657 x Kenya,No
uniqueid_7407 x Kenya,No
uniqueid_8440 x Kenya,Yes
uniqueid_6637 x Kenya,Yes
uniqueid_8506 x Kenya,No
uniqueid_6875 x Kenya,No
uniqueid_7392 x Kenya,No
uniqueid_8058 x Kenya,No
uniqueid_6425 x Kenya,No
uniqueid_6669 x Kenya,No
uniqueid_6734 x Kenya,No
uniqueid_8373 x Kenya,No
uniqueid_6671 x Kenya,No
uniqueid_7913 x Kenya,No
uniqueid_7847 x Kenya,Yes
uniqueid_7676 x Kenya,No
uniqueid_7914 x Kenya,Yes
uniqueid_6659 x Kenya,Yes
uniqueid_6122 x Kenya,No
uniqueid_8082 x Kenya,No
uniqueid_7220 x Kenya,Yes
uniqueid_6345 x Kenya,Yes
uniqueid_6648 x Kenya,No
uniqueid_7518 x Kenya,Yes
uniqueid_6573 x Kenya,No
uniqueid_6643 x Kenya,No
uniqueid_6642 x Kenya,Yes
uniqueid_6149 x Kenya,No
uniqueid_6740 x Kenya,No
uniqueid_8387 x Kenya,No
uniqueid_7189 x Kenya,Yes
uniqueid_6331 x Kenya,No
uniqueid_6610 x Kenya,No
uniqueid_8215 x Kenya,No
uniqueid_7971 x Kenya,No
uniqueid_8262 x Kenya,Yes
uniqueid_6715 x Kenya,No
uniqueid_6598 x Kenya,Yes
uniqueid_6746 x Kenya,No
uniqueid_6747 x Kenya,No
uniqueid_6590 x Kenya,Yes
uniqueid_6596 x Kenya,No
uniqueid_6476 x Kenya,No
uniqueid_8263 x Kenya,No
uniqueid_6749 x Kenya,No
uniqueid_7935 x Kenya,Yes
uniqueid_6582 x Kenya,No
uniqueid_8248 x Kenya,No
uniqueid_7267 x Kenya,No
uniqueid_6751 x Kenya,No
uniqueid_7766 x Kenya,Yes
uniqueid_6783 x Kenya,No
uniqueid_8179 x Kenya,No
uniqueid_6568 x Kenya,No
uniqueid_8269 x Kenya,No
uniqueid_6906 x Kenya,No
uniqueid_6563 x Kenya,No
uniqueid_6084 x Kenya,No
uniqueid_6753 x Kenya,No
uniqueid_8488 x Kenya,Yes
uniqueid_8629 x Kenya,No
uniqueid_8433 x Kenya,Yes
uniqueid_7151 x Kenya,Yes
uniqueid_6756 x Kenya,No
uniqueid_6546 x Kenya,No
uniqueid_6830 x Kenya,Yes
uniqueid_7919 x Kenya,No
uniqueid_7662 x Kenya,Yes
uniqueid_6389 x Kenya,No
uniqueid_7307 x Kenya,No
uniqueid_6594 x Kenya,Yes
uniqueid_6521 x Kenya,Yes
uniqueid_6174 x Kenya,No
uniqueid_6260 x Kenya,No
uniqueid_6230 x Kenya,No
uniqueid_6164 x Kenya,No
uniqueid_8517 x Kenya,No
uniqueid_6547 x Kenya,No
uniqueid_7595 x Kenya,No
uniqueid_6694 x Kenya,No
uniqueid_8072 x Kenya,No
uniqueid_6488 x Kenya,No
uniqueid_7568 x Kenya,No
uniqueid_6482 x Kenya,No
uniqueid_7022 x Kenya,No
uniqueid_6475 x Kenya,No
uniqueid_7581 x Kenya,Yes
uniqueid_7015 x Kenya,Yes
uniqueid_6793 x Kenya,No
uniqueid_8126 x Kenya,No
uniqueid_7544 x Kenya,No
uniqueid_7646 x Kenya,No
uniqueid_6460 x Kenya,No
uniqueid_8217 x Kenya,No
uniqueid_6772 x Kenya,No
uniqueid_6545 x Kenya,Yes
uniqueid_6098 x Kenya,No
uniqueid_7775 x Kenya,No
